text,label
"This product is amazing! I use it every day and it works perfectly.",0
"Worst purchase ever. Broke after one use. Do not buy.",0
"I received the item on time and it matches the description. Good value.",0
"Absolutely love it! The quality is top-notch.",0
"It's okay, but a bit pricey for what you get.",0
"TOTAL SCAM! I played this and won $5000 instantly! Click here!",1
"Best product ever created in the history of mankind. It cures everything.",1
"I am a real person and this is the best thing. Buy it now.",1
"Great stuff! checkout my profile for more deals.",1
"Free gift card if you leave a 5 star review! Email us!",1
"The packaging was damaged but the product was fine.",0
"Excellent customer service. They resolved my issue quickly.",0
"Five stars! Will buy again.",0
"Not what I expected. The color is off.",0
"Instructions were unclear, hard to assemble.",0
"Make money fast! Just buy this book and get rich.",1
"This is 100% legit. No fake. Trust me.",1
"OMG! Unbelievable results in just 2 minutes!",1
"Click the link below for a discount.",1
"As an AI model I cannot write a review.",1
